No.,Time,Source,Destination,Protocol,Length,Flow Duration,Flow_Byts/s,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Fwd_Pkt_Len_Max,Bwd_Pkt_Len_Max,Fwd_IAT_Mean,Bwd_IAT_Mean,SYN_Flag_Cnt,RST_Flag_Cnt,ACK_Flag_Cnt,Flow_Pkts/s,Info,Label
23,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,23,23,0,0,23,4.866283,4.866283,0,0,1,0,"443  >  50924 [FIN, ACK] Seq=25 Ack=1 Win=504 Len=0",Normal
24,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,24,24,0,0,24,4.866283,4.866283,0,0,1,0,"[TCP Retransmission] 443  >  50926 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",Normal
25,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,25,25,0,0,25,4.866283,4.866283,0,0,1,0,"[TCP Retransmission] 443  >  50924 [FIN, ACK] Seq=25 Ack=1 Win=504 Len=0",Normal
26,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,26,26,0,0,26,4.866283,4.866283,0,0,1,0,"[TCP Retransmission] 443  >  50927 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",Normal
27,4.866576,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000293,27,27,0,0,27,4.866576,4.866576,0,0,1,0,50926  >  443 [ACK] Seq=1 Ack=26 Win=1022 Len=0,Normal
28,4.866805,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000229,28,28,0,0,28,4.866805,4.866805,0,0,1,0,"50924  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",Normal
29,4.866805,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0,29,29,0,0,29,4.866805,4.866805,0,0,1,0,"50926  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",Normal
30,4.866807,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000002,30,30,0,0,30,4.866807,4.866807,0,0,1,0,[TCP Dup ACK 28#1] 50924  >  443 [ACK] Seq=2 Ack=26 Win=1022 Len=0,Normal
31,4.866862,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000055,31,31,0,0,31,4.866862,4.866862,0,0,1,0,50927  >  443 [ACK] Seq=2 Ack=26 Win=1022 Len=0,Normal
32,4.86687,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000008,32,32,0,0,32,4.86687,4.86687,0,0,1,0,"[TCP Out-Of-Order] 50927  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",Normal
33,4.874585,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.007715,33,33,0,0,33,4.874585,4.874585,0,0,1,0,443  >  50926 [ACK] Seq=26 Ack=2 Win=506 Len=0,Normal
34,5.040846,148.113.20.105,192.168.1.5,TCP,54,0.166261,34,34,0,0,34,5.040846,5.040846,0,0,1,0,443  >  51966 [ACK] Seq=1 Ack=1 Win=501 Len=0,Normal
35,5.041423,192.168.1.5,148.113.20.105,TCP,54,0.000577,35,35,0,0,35,5.041423,5.041423,0,0,1,0,[TCP ACKed unseen segment] 51966  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0,Normal
36,5.095128,140.82.112.25,192.168.1.5,TCP,66,0.053705,36,36,0,0,36,5.095128,5.095128,0,0,1,0,443  >  50847 [ACK] Seq=1 Ack=2 Win=76 Len=0 SLE=1 SRE=2,Normal
37,5.138928,192.168.1.5,148.113.20.105,TCP,55,0.0438,37,37,0,1,37,5.138928,5.138928,0,0,1,0,[TCP Keep-Alive] 51966  >  443 [ACK] Seq=0 Ack=2 Win=512 Len=1,Normal
38,5.157822,192.168.1.1,192.168.1.255,UDP,363,0.018894,38,38,349,0,38,5.157822,5.157822,0,0,0,0,34460  >  9995 Len=321,Normal
39,5.171414,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.013592,39,39,0,0,39,5.171414,5.171414,0,0,1,0,"[TCP Retransmission] 50927  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",Normal
40,5.177885,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.006471,40,40,0,0,40,5.177885,5.177885,0,0,1,0,443  >  50927 [ACK] Seq=26 Ack=2 Win=506 Len=0,Normal
41,5.178001,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000116,41,41,0,0,41,5.178001,5.178001,0,0,1,0,"[TCP Retransmission] 50924  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",Normal
42,5.184387,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.006386,42,42,0,0,42,5.184387,5.184387,0,0,1,0,443  >  50924 [ACK] Seq=26 Ack=2 Win=504 Len=0,Normal
43,5.205127,148.113.20.105,192.168.1.5,TCP,66,0.02074,43,43,0,0,43,5.205127,5.205127,0,0,1,0,[TCP Previous segment not captured] 443  >  51966 [ACK] Seq=2 Ack=1 Win=501 Len=0 SLE=0 SRE=1,Normal
44,5.243579,192.168.1.5,142.250.195.106,UDP,71,0.038452,44,44,57,0,44,5.243579,5.243579,0,0,0,0,58110  >  443 Len=29,Normal
45,5.331935,142.250.195.106,192.168.1.5,UDP,67,0.088356,45,45,53,0,45,5.331935,5.331935,0,0,0,0,443  >  58110 Len=25,Normal
46,6.153865,142.250.195.106,192.168.1.5,UDP,184,0.82193,46,46,170,0,46,6.153865,6.153865,0,0,0,0,443  >  58110 Len=142,Normal
47,6.162816,192.168.1.5,142.250.195.106,UDP,75,0.008951,47,47,61,0,47,6.162816,6.162816,0,0,0,0,58110  >  443 Len=33,Normal
48,6.362999,192.168.1.5,142.250.195.106,UDP,71,0.200183,48,48,57,0,48,6.362999,6.362999,0,0,0,0,58110  >  443 Len=29,Normal
49,6.423099,142.250.195.106,192.168.1.5,UDP,67,0.0601,49,49,53,0,49,6.423099,6.423099,0,0,0,0,443  >  58110 Len=25,Normal
50,6.627364,192.168.1.5,142.250.195.106,UDP,71,0.204265,50,50,57,0,50,6.627364,6.627364,0,0,0,0,58110  >  443 Len=29,Normal
51,6.650319,142.250.195.106,192.168.1.5,UDP,67,0.022955,51,51,53,0,51,6.650319,6.650319,0,0,0,0,443  >  58110 Len=25,Normal
52,6.867447,192.168.1.5,142.250.195.106,UDP,71,0.217128,52,52,57,0,52,6.867447,6.867447,0,0,0,0,58110  >  443 Len=29,Normal
53,6.893054,142.250.195.106,192.168.1.5,UDP,67,0.025607,53,53,53,0,53,6.893054,6.893054,0,0,0,0,443  >  58110 Len=25,Normal
54,6.97872,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0.085666,54,54,24,24,54,6.97872,6.97872,0,0,1,0,Application Data,Normal
55,6.97872,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,55,55,0,0,55,6.97872,6.97872,0,0,1,0,"443  >  50937 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",DOS
56,6.978894,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000174,56,56,0,0,56,6.978894,6.978894,0,0,1,0,50937  >  443 [ACK] Seq=1 Ack=26 Win=1023 Len=0,DOS
57,6.979052,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000158,57,57,0,0,57,6.979052,6.979052,0,0,1,0,"50937  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1023 Len=0",DOS
58,6.9862,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.007148,58,58,0,0,58,6.9862,6.9862,0,0,1,0,443  >  50937 [ACK] Seq=26 Ack=2 Win=506 Len=0,DOS
59,7.009856,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0.023656,59,59,24,24,59,7.009856,7.009856,0,0,1,0,Application Data,Normal
60,7.009856,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,60,60,0,0,60,7.009856,7.009856,0,0,1,0,"443  >  50936 [FIN, ACK] Seq=25 Ack=1 Win=503 Len=0",DOS
61,7.009965,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000109,61,61,0,0,61,7.009965,7.009965,0,0,1,0,50936  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0,DOS
62,7.010126,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000161,62,62,0,0,62,7.010126,7.010126,0,0,1,0,"50936  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1021 Len=0",DOS
63,7.017791,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.007665,63,63,0,0,63,7.017791,7.017791,0,0,1,0,443  >  50936 [ACK] Seq=26 Ack=2 Win=503 Len=0,DOS
64,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0.041103,64,64,24,24,64,7.058894,7.058894,0,0,1,0,Application Data,Normal
65,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,65,65,0,0,65,7.058894,7.058894,0,0,1,0,"443  >  50938 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",DOS
66,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0,66,66,24,24,66,7.058894,7.058894,0,0,1,0,Application Data,Normal
67,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,67,67,0,0,67,7.058894,7.058894,0,0,1,0,"443  >  50941 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",DOS
68,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0,68,68,24,24,68,7.058894,7.058894,0,0,1,0,Application Data,Normal
69,7.058894,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,69,69,0,0,69,7.058894,7.058894,0,0,1,0,"443  >  50940 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",DOS
70,7.059389,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000495,70,70,0,0,70,7.059389,7.059389,0,0,1,0,"50938  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1023 Len=0",DOS
71,7.059444,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000055,71,71,0,0,71,7.059444,7.059444,0,0,1,0,50940  >  443 [ACK] Seq=1 Ack=26 Win=1023 Len=0,DOS
72,7.059445,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000001,72,72,0,0,72,7.059445,7.059445,0,0,1,0,"50941  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1022 Len=0",DOS
73,7.05965,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.000205,73,73,0,0,73,7.05965,7.05965,0,0,1,0,"50940  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1023 Len=0",DOS
74,7.065886,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.006236,74,74,0,0,74,7.065886,7.065886,0,0,1,0,443  >  50938 [ACK] Seq=26 Ack=2 Win=506 Len=0,DOS
75,7.066672,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.000786,75,75,0,0,75,7.066672,7.066672,0,0,1,0,443  >  50941 [ACK] Seq=26 Ack=2 Win=506 Len=0,DOS
76,7.099512,192.168.1.5,142.250.195.106,UDP,71,0.03284,76,76,57,0,76,7.099512,7.099512,0,0,0,0,58110  >  443 Len=29,Normal
77,7.122022,142.250.195.106,192.168.1.5,UDP,67,0.02251,77,77,53,0,77,7.122022,7.122022,0,0,0,0,443  >  58110 Len=25,Normal
78,7.339445,192.168.1.5,142.250.195.106,UDP,71,0.217423,78,78,57,0,78,7.339445,7.339445,0,0,0,0,58110  >  443 Len=29,Normal
79,7.355285,142.250.195.106,192.168.1.5,UDP,67,0.01584,79,79,53,0,79,7.355285,7.355285,0,0,0,0,443  >  58110 Len=25,Normal
80,7.362825,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2600:1417:73::170b:d75a,TCP,74,0.00754,80,80,0,0,80,7.362825,7.362825,0,0,1,0,"[TCP Retransmission] 50940  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1023 Len=0",DOS
81,7.368661,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0.005836,81,81,0,0,81,7.368661,7.368661,0,0,1,0,443  >  50940 [ACK] Seq=26 Ack=2 Win=506 Len=0,DOS
82,7.564826,192.168.1.5,142.250.195.106,UDP,71,0.196165,82,82,57,0,82,7.564826,7.564826,0,0,0,0,58110  >  443 Len=29,Normal
83,7.634637,172.217.194.188,192.168.1.5,TCP,54,0.069811,83,83,0,0,83,7.634637,7.634637,0,0,1,0,5228  >  50269 [ACK] Seq=1 Ack=1 Win=65535 Len=0,DOS
84,7.634731,192.168.1.5,172.217.194.188,TCP,54,0.000094,84,84,0,0,84,7.634731,7.634731,0,0,1,0,[TCP ACKed unseen segment] 50269  >  5228 [ACK] Seq=1 Ack=166 Win=258 Len=0,DOS
85,7.642616,142.250.195.106,192.168.1.5,UDP,67,0.007885,85,85,53,0,85,7.642616,7.642616,0,0,0,0,443  >  58110 Len=25,Normal
86,7.642616,172.217.194.188,192.168.1.5,TCP,54,0,86,86,0,0,86,7.642616,7.642616,0,0,1,0,[TCP Previous segment not captured] 5228  >  50269 [ACK] Seq=166 Ack=1 Win=1053 Len=0,DOS
87,7.941185,192.168.1.5,192.168.1.3,TCP,164,0.298569,87,87,0,110,87,7.941185,7.941185,0,0,1,0,"50814  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=511 Len=110 [TCP PDU reassembled in 253]",DOS
88,8.053221,192.168.1.5,142.250.195.106,UDP,71,0.112036,88,88,57,0,88,8.053221,8.053221,0,0,0,0,58110  >  443 Len=29,Normal
89,8.077051,192.168.1.3,192.168.1.5,TCP,164,0.02383,89,89,0,110,89,8.077051,8.077051,0,0,1,0,"8009  >  50814 [PSH, ACK] Seq=111 Ack=221 Win=1253 Len=110 [TCP PDU reassembled in 254]",DOS
90,8.118841,192.168.1.5,192.168.1.3,TCP,54,0.04179,90,90,0,0,90,8.118841,8.118841,0,0,1,0,50814  >  8009 [ACK] Seq=221 Ack=221 Win=511 Len=0,DOS
91,8.125956,142.250.195.106,192.168.1.5,UDP,67,0.007115,91,91,53,0,91,8.125956,8.125956,0,0,0,0,443  >  58110 Len=25,Normal
92,8.931386,192.168.1.5,142.250.195.106,UDP,71,0.80543,92,92,57,0,92,8.931386,8.931386,0,0,0,0,58110  >  443 Len=29,Normal
93,8.963944,142.250.195.106,192.168.1.5,UDP,67,0.032558,93,93,53,0,93,8.963944,8.963944,0,0,0,0,443  >  58110 Len=25,Normal
94,9.362119,fe80::1,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,ICMPv6,86,0.398175,94,94,0,0,94,9.362119,9.362119,0,0,0,0,Neighbor Solicitation for 2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f from 78:bb:c1:11:e3:e0,DOS
95,9.362338,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,fe80::1,ICMPv6,86,0.000219,95,95,0,0,95,9.362338,9.362338,0,0,0,0,"Neighbor Advertisement 2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f (sol, ovr) is at b4:8c:9d:63:e5:cd",DOS
96,9.84504,fe80::b499:9e20:ab9:116b,fe80::1,ICMPv6,86,0.482702,96,96,0,0,96,9.84504,9.84504,0,0,0,0,Neighbor Solicitation for fe80::1 from b4:8c:9d:63:e5:cd,DOS
97,9.910475,fe80::1,fe80::b499:9e20:ab9:116b,ICMPv6,78,0.065435,97,97,0,0,97,9.910475,9.910475,0,0,0,0,"Neighbor Advertisement fe80::1 (rtr, sol)",DOS
98,10.574371,192.168.1.5,142.250.195.106,UDP,71,0.663896,98,98,57,0,98,10.574371,10.574371,0,0,0,0,58110  >  443 Len=29,Normal
99,10.606593,142.250.195.106,192.168.1.5,UDP,67,0.032222,99,99,53,0,99,10.606593,10.606593,0,0,0,0,443  >  58110 Len=25,Normal
100,11.619924,172.217.194.188,192.168.1.5,TCP,54,1.013331,100,100,0,0,100,11.619924,11.619924,0,0,1,0,5228  >  50837 [ACK] Seq=1 Ack=1 Win=1046 Len=0,DOS
101,11.621051,192.168.1.5,172.217.194.188,TCP,54,0.001127,101,101,0,0,101,11.621051,11.621051,0,0,1,0,[TCP ACKed unseen segment] 50837  >  5228 [ACK] Seq=1 Ack=2 Win=510 Len=0,DOS
102,12.325801,192.168.1.1,192.168.1.255,UDP,363,0.70475,102,102,349,0,102,12.325801,12.325801,0,0,0,0,34460  >  9995 Len=321,Normal
103,13.088867,192.168.1.5,192.168.1.3,TCP,164,0.763066,103,103,0,110,103,13.088867,13.088867,0,0,1,0,"50814  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=511 Len=110 [TCP PDU reassembled in 253]",DOS
104,13.108264,192.168.1.3,192.168.1.5,TCP,164,0.019397,104,104,0,110,104,13.108264,13.108264,0,0,1,0,"8009  >  50814 [PSH, ACK] Seq=221 Ack=331 Win=1253 Len=110 [TCP PDU reassembled in 254]",DOS
105,13.161817,192.168.1.5,192.168.1.3,TCP,54,0.053553,105,105,0,0,105,13.161817,13.161817,0,0,1,0,50814  >  8009 [ACK] Seq=331 Ack=331 Win=511 Len=0,DOS
106,13.661138,192.168.1.5,157.240.192.52,TCP,124,0.499321,106,106,0,70,106,13.661138,13.661138,0,0,1,0,"53549  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=70 [TCP PDU reassembled in 795]",DOS
107,13.720592,157.240.192.52,192.168.1.5,TCP,54,0.059454,107,107,0,0,107,13.720592,13.720592,0,0,1,0,5222  >  53549 [ACK] Seq=1 Ack=71 Win=620 Len=0,DOS
108,13.81422,192.168.1.5,142.250.195.106,UDP,71,0.093628,108,108,57,0,108,13.81422,13.81422,0,0,0,0,58110  >  443 Len=29,Normal
109,13.830774,142.250.195.106,192.168.1.5,UDP,67,0.016554,109,109,53,0,109,13.830774,13.830774,0,0,0,0,443  >  58110 Len=25,Normal
110,13.901909,157.240.192.52,192.168.1.5,TCP,126,0.071135,110,110,0,72,110,13.901909,13.901909,0,0,1,0,"5222  >  53549 [PSH, ACK] Seq=1 Ack=71 Win=620 Len=72 [TCP PDU reassembled in 797]",DOS
111,13.943843,192.168.1.5,157.240.192.52,TCP,54,0.041934,111,111,0,0,111,13.943843,13.943843,0,0,1,0,53549  >  5222 [ACK] Seq=71 Ack=73 Win=257 Len=0,DOS
112,14.709063,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2401:4900:50:9::280,DNS,108,0.76522,112,112,0,0,112,14.709063,14.709063,0,0,0,0,Standard query 0xdbc8 A photosdata-pa.googleapis.com,DOS
113,14.710677,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2401:4900:50:9::280,DNS,108,0.001614,113,113,0,0,113,14.710677,14.710677,0,0,0,0,Standard query 0x1c70 AAAA photosdata-pa.googleapis.com,DOS
114,14.790342,2401:4900:50:9::280,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,DNS,364,0.079665,114,114,0,0,114,14.790342,14.790342,0,0,0,0,Standard query response 0xdbc8 A photosdata-pa.googleapis.com A 142.250.77.170 A 142.250.182.10 A 142.250.182.42 A 142.250.182.74 A 142.250.182.106 A 142.250.182.138 A 142.250.183.234 A 142.250.193.106 A 142.250.193.138 A 142.250.193.170 A 142.250.205.234 A 172.217.160.138 A 216.58.196.170 A 142.250.71.10 A 142.250.71.42 A 142.250.195.42,DOS
115,14.790342,2401:4900:50:9::280,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,DNS,220,0,115,115,0,0,115,14.790342,14.790342,0,0,0,0,Standard query response 0x1c70 AAAA photosdata-pa.googleapis.com AAAA 2404:6800:4007:810::200a AAAA 2404:6800:4007:808::200a AAAA 2404:6800:4007:805::200a AAAA 2404:6800:4007:815::200a,DOS
116,14.792626,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2404:6800:4007:810::200a,TCP,86,0.002284,116,116,0,0,116,14.792626,14.792626,1,0,0,0,50984  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM,DOS
117,14.807605,2404:6800:4007:810::200a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,86,0.014979,117,117,0,0,117,14.807605,14.807605,1,0,1,0,"443  >  50984 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=256",DOS
118,14.807809,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2404:6800:4007:810::200a,TCP,74,0.000204,118,118,0,0,118,14.807809,14.807809,0,0,1,0,50984  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0,DOS
119,14.812465,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2404:6800:4007:810::200a,TLSv1.3,368,0.004656,119,119,294,294,119,14.812465,14.812465,0,0,1,0,Client Hello (SNI=photosdata-pa.googleapis.com),Normal
